candidate_name,json_path,calibration_kind,overall_expected,classification_expected,description_expected,label_changes_vs_anchor,text_changed_rows_vs_anchor,transition_counts,warnings
track2_submission_v24_final_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v24_final_candidate.json,estimated,0.853471,0.75606,0.950882,183,81,calm->tired:1; content->calm:177; content->excited:3; tired->sad:2,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v24_classification_frontier_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v24_classification_frontier_candidate.json,estimated,0.852863,0.75606,0.949667,183,0,calm->tired:1; content->calm:177; content->excited:3; tired->sad:2,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v24_descmax_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v24_descmax_candidate.json,estimated,0.849154,0.748642,0.949667,177,81,content->calm:177,not_hidden_label_reconstruction
track2_submission_v22_official_author_calmshiftall_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshiftall_candidate.json,estimated,0.848163,0.746659,0.949667,177,0,content->calm:177,not_hidden_label_reconstruction
track2_submission_v22_official_author_calmshift150_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift150_candidate.json,estimated,0.847352,0.745038,0.949667,150,0,content->calm:150,not_hidden_label_reconstruction
track2_submission_v22_official_author_calmshift120_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift120_candidate.json,estimated,0.846335,0.743002,0.949667,120,0,content->calm:120,not_hidden_label_reconstruction
track2_submission_v21_calmshift90_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_calmshift90_candidate.json,exact_official,0.842559,0.740034,0.945083,90,81,content->calm:90,
track2_submission_v13_balanced_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v13_balanced_candidate.json,estimated,0.841978,0.73429,0.949667,88,0,alarmed->frustrated:1; aroused->excited:1; calm->content:2; content->calm:70; excited->happy:2; frustrated->alarmed:1; glad->content:1; happy->excited:1; tired->bored:2; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v21_lastshot160_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_lastshot160_candidate.json,estimated,0.841626,0.73237,0.950882,104,81,alarmed->frustrated:1; alarmed->sad:1; annoyed->calm:3; aroused->calm:1; aroused->excited:1; calm->bored:1; calm->content:1; calm->tired:1; content->calm:70; content->excited:3; excited->happy:2; glad->content:1; happy->calm:1; happy->excited:1; sad->calm:2; tired->bored:2; tired->calm:4; tired->content:1; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v21_champion120_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_champion120_candidate.json,estimated,0.840201,0.72952,0.950882,89,81,alarmed->frustrated:1; alarmed->sad:1; annoyed->calm:3; aroused->calm:1; aroused->excited:1; calm->bored:1; calm->content:1; calm->tired:1; content->calm:55; content->excited:3; excited->happy:2; glad->content:1; happy->calm:1; happy->excited:1; sad->calm:2; tired->bored:2; tired->calm:4; tired->content:1; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v13_precision_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v13_precision_candidate.json,estimated,0.839729,0.72979,0.949667,48,0,content->calm:40; excited->happy:1; frustrated->alarmed:1; tired->bored:2; tired->sad:4,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v14b_sameq_clip093_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14b_sameq_clip093_candidate.json,estimated,0.839729,0.72979,0.949667,48,0,calm->content:6; content->calm:40; frustrated->alarmed:1; glad->calm:1,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v21_precision80_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_precision80_candidate.json,estimated,0.839136,0.72739,0.950882,68,81,alarmed->frustrated:1; alarmed->sad:1; annoyed->calm:2; aroused->calm:1; aroused->excited:1; calm->bored:1; calm->content:1; calm->tired:1; content->calm:40; content->excited:3; excited->happy:2; glad->content:1; happy->excited:1; sad->calm:2; tired->bored:2; tired->calm:1; tired->sad:7,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v20_champion_probe_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v20_champion_probe_candidate.json,estimated,0.839035,0.728403,0.949667,28,81,content->calm:28,not_hidden_label_reconstruction
track2_submission_v20_last_shot_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v20_last_shot_candidate.json,estimated,0.839035,0.728403,0.949667,28,81,content->calm:28,not_hidden_label_reconstruction
track2_submission_v12_content_to_calm_only_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_content_to_calm_only_candidate.json,estimated,0.838285,0.726902,0.949667,20,0,content->calm:20,not_hidden_label_reconstruction
track2_submission_v20_precision_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v20_precision_candidate.json,estimated,0.838097,0.726527,0.949667,18,81,content->calm:18,not_hidden_label_reconstruction
track2_submission_v14b_sameq_clip094_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14b_sameq_clip094_candidate.json,estimated,0.837508,0.72535,0.949667,23,0,calm->content:6; content->calm:16; frustrated->alarmed:1,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v10_public_style_review11_vulca_fused_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v10_public_style_review11_vulca_fused_candidate.json,estimated,0.837244,0.72464,0.949847,16,12,calm->content:5; content->calm:11,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_public_style_review11_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_public_style_review11_candidate.json,estimated,0.837153,0.72464,0.949667,16,0,calm->content:5; content->calm:11,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v12_public_duplicate_only_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_public_duplicate_only_candidate.json,estimated,0.837153,0.72464,0.949667,16,0,calm->content:5; content->calm:11,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_public_style_conservative10_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_public_style_conservative10_candidate.json,estimated,0.837058,0.72445,0.949667,15,0,calm->content:5; content->calm:10,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v15_desc_expand300_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v15_desc_expand300_candidate.json,estimated,0.837016,0.72315,0.950882,0,81,,not_hidden_label_reconstruction
track2_submission_v16_rag_non_content_top24_conf085_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v16_rag_non_content_top24_conf085_candidate.json,estimated,0.837016,0.72315,0.950882,0,81,,not_hidden_label_reconstruction
track2_submission_v12_no_calm_to_content_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_no_calm_to_content_candidate.json,estimated,0.836989,0.72431,0.949667,42,0,aroused->excited:1; bored->sad:1; calm->glad:2; content->calm:20; content->glad:5; excited->happy:1; glad->calm:1; glad->content:4; happy->excited:3; sad->tired:1; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_public_style_landscape8_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_public_style_landscape8_candidate.json,estimated,0.836869,0.72407,0.949667,13,0,calm->content:5; content->calm:8,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v19_precision_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v19_precision_candidate.json,estimated,0.836831,0.72278,0.950882,16,81,annoyed->calm:1; content->calm:5; content->excited:2; excited->happy:1; tired->bored:2; tired->calm:1; tired->sad:4,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v14b_sameq_clip095_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14b_sameq_clip095_candidate.json,estimated,0.836823,0.72398,0.949667,6,0,content->calm:5; frustrated->alarmed:1,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v15_desc_reuse192_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v15_desc_reuse192_candidate.json,estimated,0.836776,0.72315,0.950402,0,49,,not_hidden_label_reconstruction
track2_submission_v14_public_resource_agsr_max_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14_public_resource_agsr_max_candidate.json,estimated,0.83669,0.723713,0.949667,3,15,content->calm:3,not_hidden_label_reconstruction
track2_submission_v14b_sameq_clip094_exactnear_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14b_sameq_clip094_exactnear_candidate.json,estimated,0.83669,0.723713,0.949667,3,0,content->calm:3,not_hidden_label_reconstruction
track2_submission_v14b_sameq_clip095_exactnear_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v14b_sameq_clip095_exactnear_candidate.json,estimated,0.83669,0.723713,0.949667,3,0,content->calm:3,not_hidden_label_reconstruction
track2_submission_v16_rag_top48_conf085_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v16_rag_top48_conf085_candidate.json,estimated,0.83669,0.723713,0.949667,3,81,content->calm:3,not_hidden_label_reconstruction
track2_submission_v18_champion_hybrid_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v18_champion_hybrid_candidate.json,estimated,0.836611,0.72279,0.950432,3,51,tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v16_rag_top6_conf085_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v16_rag_top6_conf085_candidate.json,estimated,0.836596,0.723526,0.949667,2,81,content->calm:2,not_hidden_label_reconstruction
track2_submission_v17_safe_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v17_safe_candidate.json,estimated,0.836536,0.72219,0.950882,8,81,aroused->calm:1; calm->tired:1; content->excited:2; tired->calm:1; tired->content:1; tired->sad:2,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_moe_v2_accept5_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_moe_v2_accept5_candidate.json,exact_official,0.836408,0.72315,0.949667,0,0,,
track2_submission_ensemble_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_ensemble_candidate.json,estimated,0.836406,0.72265,0.950162,92,33,alarmed->sad:3; annoyed->calm:3; aroused->alarmed:1; aroused->calm:2; aroused->excited:1; bored->calm:6; bored->sad:1; calm->bored:1; calm->content:12; calm->frustrated:1; calm->sad:2; calm->tired:4; content->annoyed:1; content->calm:34; content->excited:4; frustrated->sad:1; glad->calm:1; glad->content:4; happy->calm:1; happy->excited:3; sad->calm:1; tired->calm:2; tired->sad:3,not_hidden_label_reconstruction;out_of_family_label_changes
track2_submission_v12_human_high_confidence_only_candidate,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_human_high_confidence_only_candidate.json,estimated,0.836348,0.72303,0.949667,1,0,calm->content:1,not_hidden_label_reconstruction;out_of_family_label_changes
