threshold,candidate_name,json_path,zip_path,overall_expected,classification_expected,description_expected,accepted_label_changes,top_emotion,top_emotion_share,transition_counts,warnings
0.92,track2_submission_v26_public_knn_ge092_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge092_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge092_candidate.zip,0.839288,0.72891,0.949667,138,calm,0.558,alarmed->calm:7; annoyed->calm:5; aroused->alarmed:1; aroused->calm:3; aroused->content:1; aroused->excited:1; aroused->frustrated:2; bored->calm:1; calm->bored:1; calm->content:22; calm->excited:1; calm->frustrated:3; calm->tired:1; content->calm:72; content->excited:1; excited->calm:2; excited->content:1; frustrated->alarmed:2; frustrated->calm:1; frustrated->excited:3; glad->calm:1; happy->calm:1; sad->calm:2; sad->content:1; sad->frustrated:1; tired->calm:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.9,track2_submission_v26_public_knn_ge09_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge09_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge09_candidate.zip,0.838418,0.72717,0.949667,292,calm,0.642,alarmed->calm:13; alarmed->excited:1; annoyed->calm:13; annoyed->content:1; annoyed->frustrated:1; annoyed->tired:1; aroused->alarmed:3; aroused->calm:9; aroused->content:2; aroused->excited:6; aroused->frustrated:3; bored->calm:3; bored->content:1; bored->excited:3; bored->frustrated:2; calm->annoyed:1; calm->bored:1; calm->content:34; calm->excited:3; calm->frustrated:3; calm->sad:3; calm->tired:1; content->alarmed:1; content->calm:126; content->excited:5; excited->calm:5; excited->content:1; frustrated->alarmed:4; frustrated->annoyed:1; frustrated->calm:7; frustrated->excited:5; glad->calm:3; glad->content:1; happy->calm:5; sad->calm:6; sad->content:2; sad->frustrated:2; tired->calm:8; tired->content:1; tired->sad:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.93,track2_submission_v26_public_knn_ge093_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge093_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge093_candidate.zip,0.837763,0.72586,0.949667,73,calm,0.521,alarmed->calm:4; annoyed->calm:3; aroused->calm:1; aroused->excited:1; aroused->frustrated:1; bored->calm:1; calm->content:16; calm->excited:1; calm->tired:1; content->calm:37; content->excited:1; frustrated->alarmed:2; frustrated->excited:1; glad->calm:1; sad->calm:1; tired->calm:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.94,track2_submission_v26_public_knn_ge094_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge094_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge094_candidate.zip,0.837389,0.72511,0.949667,25,calm,0.503,aroused->calm:1; calm->content:5; content->calm:16; content->excited:1; frustrated->alarmed:1; tired->calm:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.88,track2_submission_v26_public_knn_ge088_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge088_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge088_candidate.zip,0.836978,0.72429,0.949667,378,calm,0.68,alarmed->calm:16; alarmed->content:1; alarmed->excited:7; alarmed->frustrated:1; alarmed->sad:5; annoyed->calm:16; annoyed->content:1; annoyed->excited:1; annoyed->frustrated:1; annoyed->tired:1; aroused->alarmed:3; aroused->calm:10; aroused->content:2; aroused->excited:6; aroused->frustrated:3; bored->calm:5; bored->content:1; bored->excited:3; bored->frustrated:2; calm->annoyed:1; calm->bored:1; calm->content:40; calm->excited:6; calm->frustrated:4; calm->sad:4; calm->tired:1; content->alarmed:1; content->calm:150; content->excited:8; content->happy:1; excited->calm:7; excited->content:1; frustrated->alarmed:5; frustrated->annoyed:1; frustrated->calm:11; frustrated->excited:6; glad->calm:3; glad->content:1; happy->calm:5; happy->content:1; sad->alarmed:1; sad->calm:8; sad->content:4; sad->frustrated:3; tired->calm:16; tired->content:2; tired->sad:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.95,track2_submission_v26_public_knn_ge095_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge095_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge095_candidate.zip,0.836704,0.72374,0.949667,8,calm,0.496,aroused->calm:1; content->calm:5; content->excited:1; frustrated->alarmed:1,not_hidden_label_reconstruction;out_of_family_label_changes
0.96,track2_submission_v26_public_knn_ge096_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge096_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge096_candidate.zip,0.83669,0.723713,0.949667,3,calm,0.493,content->calm:3,not_hidden_label_reconstruction
0.97,track2_submission_v26_public_knn_ge097_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge097_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge097_candidate.zip,0.836408,0.72315,0.949667,0,calm,0.49,,
0.98,track2_submission_v26_public_knn_ge098_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge098_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge098_candidate.zip,0.836408,0.72315,0.949667,0,calm,0.49,,
0.85,track2_submission_v26_public_knn_ge085_candidate,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge085_candidate.json,experiments/track2_v26_public_knn_probe_20260608/candidates/track2_submission_v26_public_knn_ge085_candidate.zip,0.833928,0.71819,0.949667,465,calm,0.715,alarmed->calm:25; alarmed->content:1; alarmed->excited:10; alarmed->frustrated:2; alarmed->sad:6; annoyed->calm:16; annoyed->content:1; annoyed->excited:1; annoyed->frustrated:1; annoyed->tired:1; aroused->alarmed:3; aroused->calm:11; aroused->content:2; aroused->excited:8; aroused->frustrated:3; aroused->sad:1; bored->calm:10; bored->content:1; bored->excited:3; bored->frustrated:2; bored->sad:1; calm->alarmed:1; calm->annoyed:1; calm->bored:2; calm->content:43; calm->excited:10; calm->frustrated:4; calm->sad:5; calm->tired:1; content->alarmed:1; content->calm:164; content->excited:14; content->frustrated:1; content->happy:1; content->sad:1; excited->calm:9; excited->content:1; excited->sad:1; frustrated->alarmed:5; frustrated->annoyed:1; frustrated->bored:1; frustrated->calm:11; frustrated->excited:8; frustrated->sad:1; glad->calm:4; glad->content:1; happy->calm:5; happy->content:1; happy->excited:1; sad->alarmed:2; sad->calm:14; sad->content:5; sad->frustrated:4; tired->calm:23; tired->content:5; tired->sad:4,not_hidden_label_reconstruction;out_of_family_label_changes
